FECHA_CORTE;ANIO;COD_DPTO;NOM_DPTO;NOM_MUSEO;COD_MES;NOM_MES;COD_TIPO;NOM_TIPO;ADU_BOLESPPAGANTES;EST_BOLESPPAGANTES;NIN_BOLESPPAGANTES;MIL_BOLESPPAGANTES;ADM_BOLESPPAGANTES;ADU_PAGANTES;EST_PAGANTES;NIN_PAGANTES;TOTAL_PAGANTES;ADU_BOLESPNOPAGANTES;EST_BOLESPNOPAGANTES;NIN_BOLESPNOPAGANTES;MIL_BOLESPNOPAGANTES;ADM_BOLESPNOPAGANTES;ADU_NOPAGANTES;EST_NOPAGANTES;NIN_NOPAGANTES;TOTAL_NOPAGANTES;TOTAL;TIPO_cat_cod,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);03;Marzo;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);03;Marzo;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);03;Marzo;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);04;Abril;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);04;Abril;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);04;Abril;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);05;Mayo;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);05;Mayo;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);05;Mayo;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);06;Junio;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);06;Junio;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);06;Junio;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);07;Julio;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);07;Julio;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);07;Julio;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);08;Agosto;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);08;Agosto;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);08;Agosto;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);09;Setiembre;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);09;Setiembre;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);09;Setiembre;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);10;Octubre;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);10;Octubre;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);10;Octubre;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);11;Noviembre;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);11;Noviembre;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);11;Noviembre;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);12;Diciembre;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);12;Diciembre;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;13;La Libertad;Sitio Arqueologico Huaca Arco Iris (Huaca El Dragon);12;Diciembre;2;Nacionales Y Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;14;Lambayeque;Sitio Arqueologico Cerro Ventarron;01;Enero;0;Nacionales;0;0;0;0;0;27;0;12;39;0;0;0;0;0;0;0;0;0;39;Sitio Arqueológico,
20240315;2023;14;Lambayeque;Sitio Arqueologico Cerro Ventarron;01;Enero;1;Extranjeros;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;3;Sitio Arqueológico,
20240315;2023;14;Lambayeque;Sitio Arqueologico Cerro Ventarron;01;Enero;2;Nacionales Y Extranjeros;0;0;0;0;0;30;0;12;42;0;0;0;0;0;0;0;0;0;42;Sitio Arqueológico,
20240315;2023;14;Lambayeque;Sitio Arqueologico Cerro Ventarron;02;Febrero;0;Nacionales;0;0;0;0;0;11;11;8;30;0;0;0;0;0;5;0;0;5;35;Sitio Arqueológico,
20240315;2023;14;Lambayeque;Sitio Arqueologico Cerro Ventarron;02;Febrero;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
20240315;2023;14;Lambayeque;Sitio Arqueologico Cerro Ventarron;02;Febrero;2;Nacionales Y Extranjeros;0;0;0;0;0;11;11;8;30;0;0;0;0;0;5;0;0;5;35;Sitio Arqueológico,
20240315;2023;14;Lambayeque;Sitio Arqueologico Cerro Ventarron;03;Marzo;0;Nacionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico,
